filename,problem,model,prompt_type,run_number,overall_passed,constraints_passed,constraints_total,error_count,structural_errors,logical_errors,attribute_errors,structural_constraints_passed,logical_constraints_passed,attribute_constraints_passed
directedSocialNetwork_Gemini20Pro_directprompt_run1_output.json,DirectedSocialNetwork,Gemini20Pro,directprompt,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_directprompt_run2_output.json,DirectedSocialNetwork,Gemini20Pro,directprompt,2,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_directprompt_run3_output.json,DirectedSocialNetwork,Gemini20Pro,directprompt,3,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_directprompt_run4_output.json,DirectedSocialNetwork,Gemini20Pro,directprompt,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_directprompt_run5_output.json,DirectedSocialNetwork,Gemini20Pro,directprompt,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_iterativefeedback_run1_output.json,DirectedSocialNetwork,Gemini20Pro,iterativefeedback,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_iterativefeedback_run2_output.json,DirectedSocialNetwork,Gemini20Pro,iterativefeedback,2,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_iterativefeedback_run3_output.json,DirectedSocialNetwork,Gemini20Pro,iterativefeedback,3,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_Gemini20Pro_iterativefeedback_run4_output.json,DirectedSocialNetwork,Gemini20Pro,iterativefeedback,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_iterativefeedback_run5_output.json,DirectedSocialNetwork,Gemini20Pro,iterativefeedback,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_programaugmented_run1_output.json,DirectedSocialNetwork,Gemini20Pro,programaugmented,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_programaugmented_run2_output.json,DirectedSocialNetwork,Gemini20Pro,programaugmented,2,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_programaugmented_run3_output.json,DirectedSocialNetwork,Gemini20Pro,programaugmented,3,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_programaugmented_run4_output.json,DirectedSocialNetwork,Gemini20Pro,programaugmented,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Pro_programaugmented_run5_output.json,DirectedSocialNetwork,Gemini20Pro,programaugmented,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_directprompt_run1_output.json,DirectedSocialNetwork,Llama31405B,directprompt,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_directprompt_run2_output.json,DirectedSocialNetwork,Llama31405B,directprompt,2,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Llama31405B_directprompt_run3_output.json,DirectedSocialNetwork,Llama31405B,directprompt,3,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_directprompt_run4_output.json,DirectedSocialNetwork,Llama31405B,directprompt,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_directprompt_run5_output.json,DirectedSocialNetwork,Llama31405B,directprompt,5,False,7,9,2,1,0,1,2,2,3
directedSocialNetwork_Llama31405B_iterativefeedback_run1_output.json,DirectedSocialNetwork,Llama31405B,iterativefeedback,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_iterativefeedback_run2_output.json,DirectedSocialNetwork,Llama31405B,iterativefeedback,2,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_iterativefeedback_run3_output.json,DirectedSocialNetwork,Llama31405B,iterativefeedback,3,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_iterativefeedback_run4_output.json,DirectedSocialNetwork,Llama31405B,iterativefeedback,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Llama31405B_iterativefeedback_run5_output.json,DirectedSocialNetwork,Llama31405B,iterativefeedback,5,False,7,9,3,0,2,1,3,1,3
directedSocialNetwork_Llama31405B_programaugmented_run1_output.json,DirectedSocialNetwork,Llama31405B,programaugmented,1,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Llama31405B_programaugmented_run2_output.json,DirectedSocialNetwork,Llama31405B,programaugmented,2,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Llama31405B_programaugmented_run3_output.json,DirectedSocialNetwork,Llama31405B,programaugmented,3,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Llama31405B_programaugmented_run4_output.json,DirectedSocialNetwork,Llama31405B,programaugmented,4,False,7,9,3,0,2,1,3,1,3
directedSocialNetwork_Llama31405B_programaugmented_run5_output.json,DirectedSocialNetwork,Llama31405B,programaugmented,5,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Llama318B_directprompt_run1_output.json,DirectedSocialNetwork,Llama318B,directprompt,1,False,6,9,9,0,8,1,3,0,3
